sample_id	gene_symbol	gene_name	element_type	subtype	drug_class	subclass	method	pct_identity	pct_coverage	contig
KP_ES_7636_d40_r1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	AMR	NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE	NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE	EXACTX	100.00	100.00	contig_1
KP_ES_7636_d40_r1	blaOXA-48	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	100.00	100.00	contig_17
KP_ES_7636_d40_r1	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	ALLELEX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIALX	100.00	70.00	contig_3
KP_ES_7636_d40_r1	tet(A)	tetracycline efflux MFS transporter Tet(A)	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	qnrB1	quinolone resistance pentapeptide repeat protein QnrB1	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	hsp20	small heat shock protein sHSP20	STRESS	HEAT	NA	NA	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	clpK	heat shock survival AAA family ATPase ClpK	STRESS	HEAT	NA	NA	BLASTX	99.25	97.89	contig_3
KP_ES_7636_d40_r1	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	STRESS	METAL	ARSENIC	ARSENIC	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	arsD	arsenite efflux transporter metallochaperone ArsD	STRESS	METAL	ARSENIC	ARSENITE	BLASTX	91.67	100.00	contig_3
KP_ES_7636_d40_r1	arsA	arsenite efflux transporter ATPase subunit ArsA	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	arsB	arsenite efflux transporter membrane subunit ArsB	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	arsC	glutaredoxin-dependent arsenate reductase	STRESS	METAL	ARSENIC	ARSENATE	EXACTX	100.00	100.00	contig_3
KP_ES_7636_d40_r1	pcoE	copper resistance system metallochaperone PcoE	STRESS	METAL	COPPER	COPPER	BLASTX	94.44	100.00	contig_3
